"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"Mare de Déu de la Font";"520418";"0";"0";"Reserva Natural";"Comunidad Valenciana";"Reserva de Fauna";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Orden 18 del 2010. DOCV 6351";"2010";"Orden 18/2010, de 26 de agosto. DOCV 6351 del 9 de septiembre de 2010.";"2010";"0";"0";"";"";"";"";"Datos Mare de Déu de la Font (2012)"
"Malvins";"530018";"0";"0";"Reserva Natural";"Illes Balears";"Reserva Natural";"www.redeuroparc.org";"0";"";"";"Acuerdo de consejo de gobierno de 24 de mayo.BOIB 80.";"2002";"Ley 17/2001 de 19 de diciembre. BOIB 156 de 29 de diciembre de 2001";"2001";"Decreto 132/2005, 23 de diciembre. BOIB 196 de 31 de diciembre de 2005";"2005";"";"";"";"";"";"";"Datos Malvins (2012)"
"Malpaís Grande";"700091";"195929";"ES701047";"Paisaje Protegido";"Islas Canarias";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"Decreto 100/2001, de 2 de abril de 2001";"2001";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 14 de diciembre de 2006. BOC 18. Miércoles 24 de Enero de 2007. ";"2006";"";"";"";"";"";"";"Datos Malpaís Grande (2012)"
"Malpaís de Rasca";"700090";"195930";"ES702047";"Reserva Natural";"Islas Canarias";"Reserva Natural Especial";"www.redeuroparc.org";"0";"";"";"Decreto 56/2011, de 4 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 30 de noviembre de 2004. BOC 241. Martes 14 de Diciembre de 2004";"2004";"2001";"";"";"";"";"";"Datos Malpaís de Rasca (2012)"
"Malpaís de la Arena";"700089";"195931";"ES701009";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 100/2001, de 2 de abril de 2001";"2001";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 14 de diciembre de 2006. BOC 39. Jueves 22 de Febrero de 2007.";"2006";"";"";"";"";"";"";"Datos Malpaís de la Arena (2012)"
"Malpaís de Güímar";"700088";"195932";"ES702046";"Reserva Natural";"Islas Canarias";"Reserva Natural Especial";"www.redeuroparc.org";"0";"";"";"Decreto 56/2011, de 4 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 27 de diciembre de 2004. BOC 7. Miércoles 12 de Enero de 2005";"2005";"1999";"";"";"";"";"";"Datos Malpaís de Güímar (2012)"
"Mallos de Riglos, Agüero y Peña de Rueda";"240018";"";"";"Monumento Natural";"Aragón";"Monumento Natural";"www.redeuroparc.org";"2016";"";"";"";"";"";"";"";"";"";"";"88.43 ha";"88.43 ha";"";"";""
"Majuelo de Leitza";"220153";"555545989";"ES220049";"Monumento Natural";"Comunidad Foral de Navarra";"Monumento Natural";"www.redeuroparc.org";"0";"0";"";"0";"";"Decreto foral 87/2009, de 1 de diciembre. BON 157 de 23 de diciembre de 2009.";"2009";"";"";"";"";"";"";"";"";"Datos Majuelo de Leitza (2012)"
"Majona";"700087";"19135";"ES702039";"Parque Natural";"Islas Canarias";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 97/2011, de 27 de abril de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Anuncio de 14 de diciembre de 2004. BOC 247. Miércoles 22 de Diciembre de 2004 ";"2004";"";"";"";"";"";"";"Datos Majona (2012)"
"Magnolio de Bergara";"210015";"349055";"ES212005";"Monumento Natural";"País Vasco";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 265/1995 de 16 de mayo. BOPV 108 de 8 de junio de 1996";"1995";"";"";"";"";"";"";"";"";"Datos Magnolio de Bergara (2012)"
"Magnolia de Los Durán";"430049";"389439";"ES432031";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 140/2005 de 7 de junio. DOE 68 (14/06/2005)";"2005";"";"";"";"";"";"";"";"";"Datos Magnolia de Los Durán (2012)"
"Madroña de Guijarroblanco";"430036";"349054";"ES432025";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 76/2004 de 18 de mayo. DOE 59 (25/05/2004)";"2004";"";"";"";"";"";"";"";"";"Datos Madroña de Guijarroblanco (2012)"
"Macizo volcánico de calatrava";"420102";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 91/2008, de 24 de junio. DOCM 139 de 4 de julio";"2008";"";"";"";"";"";"";"";"";"Datos Macizo volcánico de calatrava (2012)"
"Macizo de Itxina";"210021";"348773";"ES213005";"Otros";"País Vasco";"Biotopo Protegido";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 368/1995 de 11 de julio. BOPV 165 de 30 de agosto de 1995";"1995";"";"";"";"";"";"";"";"";"Datos Macizo de Itxina (2012)"
"Maar de la Hoya de Mortero";"420014";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 177/2000 de 5 de diciembre. DOCM 130 de 28 de diciembre de 2000.";"2000";"";"";"";"";"";"";"";"";"Datos Maar de la Hoya de Mortero (2012)"
"Maar de Hoya de Cervera";"420009";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 210/1999 de 5 de octubre. DOCM 64 de 8 de octubre de 1999.";"1999";"";"";"";"";"";"";"";"";"Datos Maar de Hoya de Cervera (2012)"
"Los yacimientos de icnitas de Asturias";"120021";"349491";"ES120027";"Monumento Natural";"Principado de Asturias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 38/1994, de 19 de mayo. BOPA 152.";"1994";"Decreto 45/2001de 19 de Abril. BOPA 106 de 9 de Mayo de 2001";"2001";"";"";"";"";"";"";"";"";"Datos Los yacimientos de icnitas de Asturias (2012)"
"Los Volcanes de Teneguía";"700086";"196371";"ES702087";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 7/2011, de 11 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 7 de febrero de 2008. BOC 36, martes 19 de febrero de 2008.";"2008";"";"";"";"";"";"";"Datos Los Volcanes de Teneguía (2012)"
"Los Volcanes de Aridane";"700085";"195797";"ES702022";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 7/2011, de 11 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"";"";"";"";"";"";"";"";"Datos Los Volcanes de Aridane (2012)"
"Los Volcanes";"700084";"151319";"ES701049";"Parque Natural";"Islas Canarias";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 63/1991, de 9 de abril. BOC 82.";"1991";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"";"";"";"";"";"";"";"";"Datos Los Volcanes (2012)"
"Los Villares";"610083";"196156";"ES613010";"Otros";"Andalucía";"Parque Periurbano";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 5 de febrero de 1990 (BOJA nº 14, de 13 de febrero de 1990). Ley 2/89 de 18 de julio del Parlamento andaluz. Ley 4/89 de 27 de marzo.";"1990";"";"";"";"";"";"";"";"";"Datos Los Villares (2012)"
"Los Tilos de Moya";"700083";"349049";"ES701055";"Reserva Natural";"Islas Canarias";"Reserva Natural Especial";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 4 de agosto de 2005. BOC 160. Miércoles 17 de Agosto de 2005";"2005";"";"";"";"";"";"";"Datos Los Tilos de Moya (2012)"
"Los Tajos de Alcázar";"610163";"555546005";"ES617022";"Monumento Natural";"Andalucía";"Monumento Natural";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Decreto 383/2011, de 30 de diciembre. Boja 8, 13 de enero 2012. ";"2012";"0";"0";"0";"0";"";"";"";"";"Datos Los Tajos de Alcázar (2012)"
"Los Roques";"700082";"19065";"ES702061";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 97/2011, de 27 de abril de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Acuerdo de la COTMAC de 3 de abril de 2006. BOC 105 de 1 de junio de 2006";"2006";"";"";"";"";"";"";"Datos Los Roques (2012)"
"Los Reales de Sierra Bermeja";"610058";"20941";"ES617005";"Otros";"Andalucía";"Paraje Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"";"";"";"";"";"";"";"";"Datos Los Reales de Sierra Bermeja (2012)"
"Los Órganos";"610117";"349069";"ES616012";"Monumento Natural";"Andalucía";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 56/2004, de 17 de febrero.";"1994";"Decreto 226/2001, de 2 de octubre, BOJA 135/2001 de 22 de noviembre de 2001";"2001";"Decreto 56/2004, de 17 de febrero.";"2004";"";"";"";"";"";"";"Datos Los Órganos (2012)"
"Los Órganos";"700081";"92627";"ES702021";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 97/2011, de 27 de abril de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 20 de enero de 2006. BOC 23, jueves 2 de febrero de 2006.";"2006";"";"";"";"";"";"";"Datos Los Órganos (2012)"
"Los Ojos del Prao";"520507";"389416";"ES522165";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Los Ojos del Prao (2012)"
"Los Marteles";"700080";"142936";"ES701054";"Reserva Natural";"Islas Canarias";"Reserva Natural Especial";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 14 de diciembre de 2006. BOC 85. Lunes 30 de Abril de 2007.";"2007";"";"";"";"";"";"";"Datos Los Marteles (2012)"
"Los Jameos";"700079";"349058";"ES701057";"Otros";"Islas Canarias";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 63/1991, de 9 de abril. BOC 82.";"1991";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 24 de noviembre de 2006. BOC 237. Jueves 7 de Diciembre de 2006.";"2006";"";"";"";"";"";"";"Datos Los Jameos (2012)"
"Los Islotes";"700078";"349047";"ES701056";"Reserva Natural";"Islas Canarias";"Reserva Natural Integral";"www.redeuroparc.org";"0";"";"";"Decreto 63/1991, de 9 de abril. BOC 82.";"1991";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 23 de noviembre de 2006. BOC 236. Martes 5 de Diciembre de 2006. ";"2006";"";"";"";"";"";"";"Datos Los Islotes (2012)"
"Los Derriscaderos";"700077";"349252";"ES702020";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 56/2011, de 4 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 13 de enero de 2006. BOC 17. Miércoles 25 de Enero de 2006.";"2006";"";"";"";"";"";"";"Datos Los Derriscaderos (2012)"
"Los Chorradores";"520620";"555595657";"ES523239";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"2014";"";"2014";"";"";"";"";"";"";"";"";"28.97 ha";"28.97 ha";"";"";""
"Los Campeches, Tigaiga y Ruiz";"700076";"349151";"ES702072";"Paisaje Protegido";"Islas Canarias";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"Decreto 56/2011, de 4 de marzo de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"";"";"";"";"";"";"";"";"Datos Los Campeches, Tigaiga y Ruiz (2012)"
"Los Calderones";"520071";"389064";"ES523126";"Otros";"Comunidad Valenciana";"Paraje Natural Municipal";"www.redeuroparc.org";"0";"";"";"0";"";"Acuerdo de 16 de marzo de 2007. DOGV 5474 de 21 de marzo de 2007";"2007";"Acuerdo de 16 de marzo de 2007. DOGV 5474 de 21 de marzo de 2007";"2007";"";"";"";"";"";"";"Datos Los Calderones (2012)"
"Los Cabezos";"610095";"19128";"ES613011";"Otros";"Andalucía";"Parque Periurbano";"www.redeuroparc.org";"0";"";"";"0";"";"ORDEN DE 17 DE JUNIO DE 1999. BOJA 78.";"1999";"";"";"";"";"";"";"";"";"Datos Los Cabezos (2012)"
"Los bufones de Arenillas";"120025";"349090";"ES120025";"Monumento Natural";"Principado de Asturias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 38/1994, de 19 de mayo. BOPA 152.";"1994";"Decreto 143/2001 de 5 de Diciembre. BOPA 297 de 26 de Diciembre de 2001";"2001";"";"";"";"";"";"";"";"";"Datos Los bufones de Arenillas (2012)"
"Los Baselisos";"430093";"";"";"Otros";"Extremadura";"Parque Periurbano de Conservación y Ocio";"www.redeuroparc.org";"2017";"DECRETO 141/2017, de 5 de septiembre, por el que se declara el Parque Periurbano de Conservación y Ocio Los Baselisos, en el término municipal de Maguilla.DOE 175(12/9/2017)";"";"";"";"DECRETO 141/2017, de 5 de septiembre, por el que se declara el Parque Periurbano de Conservación y Ocio Los Baselisos, en el término municipal de Maguilla.DOE 175(12/9/2017)";"2017";"";"";"";"";"7.11 ha";"7.11 ha";"";"";""
"Los Barruecos";"430002";"349043";"ES432003";"Monumento Natural";"Extremadura";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 29/1996 de 19 de febrero. DOE 25 (29/02/1996)";"1996";"";"";"";"";"";"";"";"";"Datos Los Barruecos (2012)"
"Los Altos de Enguera";"520186";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Los Altos de Enguera (2012)"
"Los Alcornocales";"610057";"349067";"ES610005";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";" Decreto 150/2017, de 19 de septiembre,";"2017";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";" Decreto 150/2017, de 19 de septiembre,";"2017";"";"2001";"";"";"";"";"Datos Los Alcornocales (2012)"
"Los Ajaches";"700075";"19084";"ES701008";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 63/1991, de 9 de abril. BOC 82.";"1991";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Orden de 30 de octubre de 2000. BOC 151. Viernes 17 de Noviembre de 2000.";"2000";"";"";"";"";"";"";"Datos Los Ajaches (2012)"
"Lorera de la Trucha";"430035";"349050";"ES432024";"Monumento Natural";"Extremadura";"Árbol Singular";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 76/2004 de 18 de mayo. DOE 59 (25/05/2004)";"2004";"";"";"";"";"";"";"";"";"Datos Lorera de la Trucha (2012)"
"Lomo Magullo";"700074";"349076";"ES701046";"Paisaje Protegido";"Islas Canarias";"Paisaje Protegido";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 23 de enero de 2006. BOC 24. Viernes 3 de Febrero de 2006. ";"2006";"";"";"";"";"";"";"Datos Lomo Magullo (2012)"
"Lomo del Carretón";"700073";"349075";"ES702019";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 97/2011, de 27 de abril de 2011";"2011";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Acuerdo de la COTMAC DE 29de Mayo de 2009. BOC 136 de 15 de julio de 2009";"2009";"";"";"";"";"";"";"Datos Lomo del Carretón (2012)"
"Loio-Ruxidoira";"110103";"0";"0";"Otros";"Galicia";"Espacio Natural de Interés Local";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Orden de 13 de febrero de 2013. DOG 38, 22 de febrero de 2013.";"2013";"0";"0";"0";"0";"";"";"";"";"Datos Loio-Ruxidoira (2012)"
"Llomes del Xap";"520164";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Llomes del Xap (2012)"
"Lloma del Tramussar";"520343";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 30 de enero de 2007, de la Conselleria de Territorio y Vivienda, por la que se declara una microrreserva vegetal en la provincia de Valencia. DOGV 5451 de 15 de febrero de 2007";"2007";"Orden de 30 de enero de 2007, de la Conselleria de Territorio y Vivienda, por la que se declara una microrreserva vegetal en la provincia de Valencia. DOGV 5451 de 15 de febrero de 2007";"2007";"";"";"";"";"";"";"Datos Lloma del Tramussar (2012)"
"Lloma del Cavall";"520284";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 29 de abril de 2003, de la Conselleria de Medio Ambiente, por la que se declaran 5 microrreservas vegetales en la provincia de Alicante DOGV 4517 de 9 de junio de 2003";"2003";"Orden de 29 de abril de 2003, de la Conselleria de Medio Ambiente, por la que se declaran 5 microrreservas vegetales en la provincia de Alicante DOGV 4517 de 9 de junio de 2003";"2003";"";"";"";"";"";"";"Datos Lloma del Cavall (2012)"
"Lloma de Coca";"520259";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"";"";"";"";"";"";"Datos Lloma de Coca (2012)"
"Llanos del Pinar";"520360";"389267";"ES523138";"Reserva Natural";"Comunidad Valenciana";"Reserva de Fauna";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 23 de noviembre de 2006 de la Consellería de Territorio y Vivienda por la que se declaran seis reservas de fauna en la Comunitat Valenciana DOGV 5414 de 26 de diciembre de 2006";"2006";"Orden de 23 de noviembre de 2006 de la Consellería de Territorio y Vivienda por la que se declaran seis reservas de fauna en la Comunitat Valenciana DOGV 5414 de 26 de diciembre de 2006";"2006";"";"";"";"";"";"";"Datos Llanos del Pinar (2012)"
"Llanos de Cáceres y Sierra de Fuentes";"430007";"349070";"ES432005";"Designaciones para la Red Natura 2000";"Extremadura";"Zona de Interés Regional";"www.redeuroparc.org";"0";"";"";"0";"";"Ley 8/1998 de 26 de junio. DOE 86. (28/06/1998)";"1998";"Orden de 28 de agosto de 2009. DOE 177, 14 de septiembre de 2009.";"2009";"";"";"";"";"";"";"Datos Llanos de Cáceres y Sierra de Fuentes (2012)"
"Llacuna Salada de Torrevieja";"520225";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"";"";"";"";"";"";"Datos Llacuna Salada de Torrevieja (2012)"
"Llacuna Salada de La Mata";"520224";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"";"";"";"";"";"";"Datos Llacuna Salada de La Mata (2012)"
"Llacuna del Samaruc";"520258";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"";"";"";"";"";"";"Datos Llacuna del Samaruc (2012)"
"Llacuna del Fartet";"520304";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 24 de octubre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 12 microrreservas vegetales en la provincia de Valencia DOGV 4630 de 14 de noviembre de 2003";"2003";"Orden de 24 de octubre de 2003, de la Conselleria de Territorio y Vivienda, por la que se declaran 12 microrreservas vegetales en la provincia de Valencia DOGV 4630 de 14 de noviembre de 2003";"2003";"";"";"";"";"";"";"Datos Llacuna del Fartet (2012)"
"Llacuna de la Tancada";"510073";"349065";"ES514006";"Reserva Natural";"Cataluña";"Reserva Natural de Fauna Salvaje";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 9 de septiembre de 1992. DOGC 1649 de 25 de septiembre de 1992";"1992";"";"";"";"";"";"";"";"";"Datos Llacuna de la Tancada (2012)"
"Lizardoia";"220023";"0";"0";"Reserva Natural";"Comunidad Foral de Navarra";"Reserva Integral";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley Foral 6/1987 10 de abril. BON 49 de 20 de abril de 1987";"1987";"Decreto Foral 231/1998, de 6 de julio. BON 97.";"1998";"";"";"";"";"";"";"Datos Lizardoia (2012)"
"LIC-ZEPA Serra da Enciña da Lastra";"110073";"389055";"ES1130009";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC-ZEPA Serra da Enciña da Lastra (2012)"
"LIC-ZEPA Illas Cíes";"110048";"389059";"ES0000001";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"Parque Natural";"También Parque Nacional";"1980";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC-ZEPA Illas Cíes (2012)"
"LIC Xubia - Castro";"110081";"349492";"ES111004";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Xubia - Castro (2012)"
"LIC Veiga de Ponteliñares";"110080";"349504";"ES113009";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Veiga de Ponteliñares (2012)"
"LIC Valles altos del Nansa y Saja y Alto Campoo";"130035";"389297";"ES1300021";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Valles altos del Nansa y Saja y Alto Campoo (2012)"
"LIC Sobreirais do Arnego";"110079";"349388";"ES114019";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Sobreirais do Arnego (2012)"
"LIC Sistema fluvial Ulla - Deza";"110078";"349399";"ES110007";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Sistema fluvial Ulla - Deza (2012)"
"LIC Sierra del Escudo de Cabuérniga";"130036";"389296";"ES1300022";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Sierra del Escudo de Cabuérniga (2012)"
"LIC Sierra del Escudo";"130031";"389295";"ES1300016";"Designaciones para la Red Natura 2000";"Cantabria";"Zona de la Red Ecológica Europea Natura 2000";"www.redeuroparc.org";"0";"";"";"0";"";"Ley de Cantabria 4/2006, de 19 de mayo, de Conservación de la Naturaleza de Cantabria. BOC de 1 de junio de 2006";"2006";"";"";"";"";"";"";"";"";"Datos LIC Sierra del Escudo (2012)"
"LIC Serra do Xistral";"110077";"349431";"ES110003";"Designaciones para la Red Natura 2000";"Galicia";"Zona de Especial Protección de los Valores Naturales";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 72/2004. DOG 69 de 12 de abril de 2004.";"2004";"";"";"";"";"";"";"";"";"Datos LIC Serra do Xistral (2012)"
